Fecha,emisions,IGAE,CETES28d
01/01/1993,28187426,56.2619,16.72
01/02/1993,27432358,57.7061,17.74
01/03/1993,28831203,57.8217,17.47
01/04/1993,28679863,57.1877,16.17
01/05/1993,27809929,57.8966,15.04
01/06/1993,28840435,57.4373,15.5
01/07/1993,29520258,58.3056,13.85
01/08/1993,29872647,58.0726,13.68
01/09/1993,29832687,57.8534,13.71
01/10/1993,30471982,57.7436,13.13
01/11/1993,30673456,57.596,14.38
01/12/1993,32022361,58.485,11.78
01/01/1994,31584825,58.7365,10.52
01/02/1994,31247498,58.7112,9.45
01/03/1994,30780991,59.1826,9.73
01/04/1994,30532042,60.4287,15.79
01/05/1994,30477024,60.3282,16.36
01/06/1994,30231729,60.4481,16.18
01/07/1994,29556796,59.9392,17.07
01/08/1994,30063998,60.4731,14.46
01/09/1994,31114954,60.8648,13.76
01/10/1994,30129936,61.0913,13.6
01/11/1994,31766658,61.307,13.74
01/12/1994,31998537,60.7637,18.51
01/01/1995,32317847,60.866,37.25
01/02/1995,31934108,56.9963,41.69
01/03/1995,31333652,56.7335,69.54
01/04/1995,30446751,55.1139,74.75
01/05/1995,33148560,54.706,59.17
01/06/1995,32766162,55.2961,47.25
01/07/1995,33031460,55.7062,40.94
01/08/1995,31958559,56.1235,35.14
01/09/1995,30846999,56.6166,33.46
01/10/1995,31646930,55.3667,40.29
01/11/1995,29996396,57.18,53.16
01/12/1995,29242924,59.199,48.62
01/01/1996,29715813,59.1362,40.99
01/02/1996,29763646,58.6325,38.58
01/03/1996,27561356,59.1118,41.45
01/04/1996,30229891,58.8267,35.21
01/05/1996,31630657,59.6406,28.45
01/06/1996,30261043,60.1207,27.81
01/07/1996,29794483,60.163,31.25
01/08/1996,33720942,60.1734,26.51
01/09/1996,36686668,60.654,23.9
01/10/1996,35420389,61.1204,25.75
01/11/1996,35130040,61.9172,29.57
01/12/1996,35348566,62.316,27.23
01/01/1997,35435248,62.0255,23.55
01/02/1997,37491582,62.2583,19.8
01/03/1997,40041180,62.6474,21.66
01/04/1997,40608598,63.2929,21.35
01/05/1997,41284318,63.9073,18.42
01/06/1997,40834898,64.6015,20.17
01/07/1997,49914530,64.5589,18.8
01/08/1997,49690073,65.1018,18.93
01/09/1997,49077809,65.4178,18.02
01/10/1997,50275018,66.3823,17.92
01/11/1997,48216056,66.9525,20.16
01/12/1997,46682696,66.7572,18.85
