ByM_lag0,ByM_lag1,ByM_lag2,i_lag0,y_lag0,inpc_lag0,i_lag1,y_lag1,inpc_lag1
157161.287,,,,79.3499,44.93083,,,
150126.022,157161.287,,,78.7674,45.32938,,79.3499,44.93083
152919.896,150126.022,157161.287,,78.7014,45.580681,,78.7674,45.32938
158846.323,152919.896,150126.022,,79.3919,45.840018,,78.7014,45.580681
157679.406,158846.323,152919.896,,79.8523,46.011379,,79.3919,45.840018
165529.481,157679.406,158846.323,,80.2519,46.28392,,79.8523,46.011379
162172.83,165529.481,157679.406,,80.4345,46.464466,,80.2519,46.28392
157692.618,162172.83,165529.481,,80.518,46.719785,,80.4345,46.464466
161376.238,157692.618,162172.83,,80.6221,47.061072,,80.518,46.719785
162822.86,161376.238,157692.618,,80.54,47.385136,,80.6221,47.061072
175112.072,162822.86,161376.238,,80.1968,47.790288,,80.54,47.385136
208879.867,175112.072,162822.86,,79.8112,48.307671,,80.1968,47.790288
181718.698,208879.867,175112.072,,79.7814,48.575476,,79.8112,48.307671
175896.436,181718.698,208879.867,,79.5447,48.543328,,79.7814,48.575476
176028.084,175896.436,181718.698,,79.5309,48.850888,,79.5447,48.543328
174570.67,176028.084,175896.436,,79.3956,49.097309,,79.5309,48.850888
178269.919,174570.67,176028.084,,79.1925,49.20997,,79.3956,49.097309
180702.903,178269.919,174570.67,,79.4931,49.326364,,79.1925,49.20997
178256.186,180702.903,178269.919,,79.6937,49.198202,,79.4931,49.326364
178960.066,178256.186,180702.903,,79.9535,49.489688,,79.6937,49.198202
182150.763,178960.066,178256.186,,79.7598,49.950381,,79.9535,49.489688
181038.815,182150.763,178960.066,,78.7935,50.176135,,79.7598,49.950381
193892.127,181038.815,182150.763,,79.3192,50.365149,,78.7935,50.176135
225222.732,193892.127,181038.815,,79.3258,50.434899,,79.3192,50.365149
206861.996,225222.732,193892.127,,77.9618,50.900472,,79.3258,50.434899
202219.512,206861.996,225222.732,,78.4112,50.86775,,77.9618,50.900472
215888.76,202219.512,206861.996,,78.8927,51.127948,,78.4112,50.86775
201136.312,215888.76,202219.512,,79.2523,51.407235,,78.8927,51.127948
209329.007,201136.312,215888.76,,79.4788,51.511429,,79.2523,51.407235
211830.242,209329.007,201136.312,,79.3581,51.762586,,79.4788,51.511429
209417.287,211830.242,209329.007,,79.5625,51.911181,,79.3581,51.762586
210266.104,209417.287,211830.242,,80.0488,52.10856,,79.5625,51.911181
210993.609,210266.104,209417.287,,79.9881,52.421984,,80.0488,52.10856
213941.744,210993.609,210266.104,,80.2888,52.653036,,79.9881,52.421984
227456.663,213941.744,210993.609,,79.4896,53.078877,,80.2888,52.653036
263936.897,227456.663,213941.744,,80.0248,53.30993,,79.4896,53.078877
246101.98,263936.897,227456.663,,80.0789,53.525441,,80.0248,53.30993
241402.098,246101.98,263936.897,,80.6445,53.674122,,80.0789,53.525441
237849.553,241402.098,246101.98,,80.2089,54.01293,,80.6445,53.674122
243730.756,237849.553,241402.098,,80.2431,54.105144,,80.2089,54.01293
246356.274,243730.756,237849.553,,79.9876,53.93056,,80.2431,54.105144
240017.485,246356.274,243730.756,,80.7078,53.975112,,79.9876,53.93056
242514.288,240017.485,246356.274,,80.7056,54.053339,,80.7078,53.975112
242435.364,242514.288,240017.485,,80.006,54.21549,,80.7056,54.053339
238702.501,242435.364,242514.288,,80.2281,54.538238,,80.006,54.21549
247925.945,238702.501,242435.364,,80.4877,54.738207,,80.2281,54.538238
260002.337,247925.945,238702.501,,80.7838,55.192542,,80.4877,54.738207
303614.089,260002.337,247925.945,,81.6969,55.429811,,80.7838,55.192542
278373.115,303614.089,260002.337,,82.1563,55.774317,,81.6969,55.429811
273567.978,278373.115,303614.089,,82.322,56.107945,,82.1563,55.774317
267424.553,273567.978,278373.115,,83.5068,56.298071,,82.322,56.107945
273090.802,267424.553,273567.978,,83.2616,56.383032,,83.5068,56.298071
276652.472,273090.802,267424.553,,83.8177,56.241603,,83.2616,56.383032
278847.001,276652.472,273090.802,,83.6868,56.331745,,83.8177,56.241603
281999.486,278847.001,276652.472,,83.2225,56.47939,,83.6868,56.331745
277136.443,281999.486,278847.001,,83.4811,56.828041,,83.2225,56.47939
280788.968,277136.443,281999.486,,83.6446,57.297917,,83.4811,56.828041
285219.272,280788.968,277136.443,,83.9138,57.694747,,83.6446,57.297917
294824.968,285219.272,280788.968,,84.605,58.186899,,83.9138,57.694747
340177.672,294824.968,285219.272,,84.4247,58.307088,,84.605,58.186899
316646.595,340177.672,294824.968,,84.5474,58.30916,,84.4247,58.307088
307241.459,316646.595,340177.672,,84.7368,58.503431,,84.5474,58.30916
311855.795,307241.459,316646.595,,84.5667,58.767121,,84.7368,58.503431
306993.402,311855.795,307241.459,,84.9107,58.976415,,84.5667,58.767121
307690.103,306993.402,311855.795,,85.9672,58.828251,,84.9107,58.976415
314148.93,307690.103,306993.402,,84.5561,58.771783,,85.9672,58.828251
315321.675,314148.93,307690.103,,84.8901,59.0018,,84.5561,58.771783
306032.898,315321.675,314148.93,,85.963,59.072255,,84.8901,59.0018
312474.667,306032.898,315321.675,,86.1299,59.309006,,85.963,59.072255
316469.239,312474.667,306032.898,,86.2442,59.45458,,86.1299,59.309006
327169.713,316469.239,312474.667,,87.0858,59.882493,,86.2442,59.45458
380033.691,327169.713,316469.239,,87.5589,60.250312,,87.0858,59.882493
354740.855,380033.691,327169.713,8.21,89.0384,60.603626,,87.5589,60.250312
346431.301,354740.855,380033.691,7.74,88.3072,60.696358,8.21,89.0384,60.603626
353043.83,346431.301,354740.855,7.46,88.2547,60.772512,7.74,88.3072,60.696358
357800.129,353043.83,346431.301,7.18,88.8531,60.861617,7.46,88.2547,60.772512
358023.879,357800.129,353043.83,7.02,90.259,60.590675,7.18,88.8531,60.861617
369072.338,358023.879,357800.129,7.03,89.4114,60.642998,7.02,90.259,60.590675
368681.007,369072.338,358023.879,7.02,89.5281,60.809294,7.03,89.4114,60.642998
